CODICESCUOLA,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,DENOMINAZIONESCUOLA,SITOWEBSCUOLA,PROVINCIA
FREE056018,SCUOLA PRIMARIA,ANAGNI CONVITTO NAZIONALE R.M.P,www.convittoreginamargherita.gov.it,FROSINONE
FREE80302Q,SCUOLA PRIMARIA,ESPERIA MONTICELLI,www.icesperia.it,FROSINONE
FREE80401E,SCUOLA PRIMARIA,GUARCINO CAPOLUOGO,www.icguarcino.govit,FROSINONE
FREE80402G,SCUOLA PRIMARIA,TORRE CAJETANI CAPOLUOGO,www.icguarcino.gov.it,FROSINONE
FREE80403L,SCUOLA PRIMARIA,TRIVIGLIANO CERRETA,www.icguarcino.gov.it,FROSINONE
FREE80404N,SCUOLA PRIMARIA,VICO NEL LAZIO,www.icguarcino.gov.it,FROSINONE
FREE806016,SCUOLA PRIMARIA,SERRONE LA FORMA,www.istitutocomprensivoserrone.it,FROSINONE
FREE807012,SCUOLA PRIMARIA,PIGLIO CAPOLUOGO,www.comprensivopiglio.it,FROSINONE
FREE807023,SCUOLA PRIMARIA,FILETTINO CAPOLUOGO,www.comprensivopiglio.it,FROSINONE
FREE807034,SCUOLA PRIMARIA,TREVI NEL LAZIO CAPOLUOGO,www.comprensivopiglio.it,FROSINONE
FREE80801T,SCUOLA PRIMARIA,ALATRI MOLE BISLETI,www.icedanti.gov.it,FROSINONE
FREE80803X,SCUOLA PRIMARIA,FELICE CATALDI ALATRI,www.icedanti.gov.it,FROSINONE
FREE81101N,SCUOLA PRIMARIA,RIPI CAPOLUOGO,www.icripi.gov.it,FROSINONE
FREE81103Q,SCUOLA PRIMARIA,TORRICE CAPOLUOGO,WWW.ISTITUTOCOMPRENSIVORIPI.IT,FROSINONE
FREE81201D,SCUOLA PRIMARIA,AMASENO CAPOLUOGO,www.comprensivoamaseno.gov.it,FROSINONE
FREE81202E,SCUOLA PRIMARIA,GIULIANO DI R. CAPOLUOGO,www.comprensivoamaseno.gov.it,FROSINONE
